date,ticker,ret_1d,ret_5d,ret_10d,ret_20d,rsi_14,atr_14_pct,volume_ratio_20,dist_ma20,dist_ma50,dist_ma200,rolling_vol_20,label_target_stop,label_median_return,forward_return
1982-01-14,AAPL,0.048948,-0.0131571,-0.152543,0.00671101,33.7838,0.0385717,0.533024,-0.0925618,-0.03562,-0.187325,0.0455384,0,1,-0.0133325
1982-01-15,AAPL,0.0666746,0.00628888,-0.0960394,0.0256393,40.9646,0.0406255,0.987263,-0.0332284,0.0284152,-0.132341,0.0467115,0,0,-0.062507
1982-01-18,AAPL,0.0187487,0.0939661,-0.0738591,-0.0355007,47.4361,0.0385633,0.606929,-0.0133142,0.046486,-0.114922,0.0430944,0,0,-0.098164
1982-01-19,AAPL,-0.0245383,0.104173,-0.0479011,-0.131148,43.0386,0.0390841,1.2247,-0.0304832,0.0187141,-0.135396,0.0388048,0,0,-0.0629001
1982-01-20,AAPL,0.0188666,0.132871,-0.0181806,-0.0742812,40.001,0.0365969,0.58974,-0.0082612,0.0355452,-0.117981,0.038175,0,0,-0.0679078
1982-01-21,AAPL,0.0185173,0.100006,0.0855331,-0.0730293,42.3084,0.0372301,0.779323,0.0141383,0.0521649,-0.100644,0.0382126,0,0,-0.090914
1982-01-22,AAPL,0.00606021,0.0374975,0.0440222,-0.0459742,43.5903,0.0374361,0.5703,0.0227986,0.0559823,-0.0939594,0.0379929,0,0,-0.108438
1982-01-25,AAPL,-0.0301185,-0.0122691,0.0805441,-0.0799951,45.9463,0.0368241,1.03192,-0.00370986,0.0228762,-0.119831,0.0384464,0,0,-0.0931726
1982-01-26,AAPL,-0.0372646,-0.0251555,0.0763966,-0.0718517,43.5903,0.0400927,0.498434,-0.0372619,-0.0151158,-0.151052,0.0380236,0,0,-0.0516209
1982-01-27,AAPL,0.00645117,-0.0370346,0.0909159,-0.0823477,53.0314,0.0352564,0.730746,-0.0268202,-0.010146,-0.144005,0.0377884,0,0,-0.0641096
1982-01-28,AAPL,0.0320491,-0.0242408,0.0733409,-0.09039,51.5624,0.0332735,0.914924,0.00940659,0.0192496,-0.115066,0.0372973,0,0,-0.0931726
1982-01-29,AAPL,0.0124215,-0.0180711,0.0187487,-0.0790912,62.5012,0.0297972,1.23014,0.0264495,0.0296938,-0.102865,0.0374622,0,0,-0.098164
1982-02-01,AAPL,-0.0122691,0,-0.0122691,-0.0852221,66.0389,0.0288365,0.926724,0.0186666,0.0157769,-0.11292,0.0375098,0,0,-0.0869618
1982-02-02,AAPL,0.00621077,0.0451582,0.0188666,-0.0299382,67.9256,0.0295403,1.27718,0.0266171,0.0206688,-0.106328,0.0359358,0,0,-0.0925975
1982-02-03,AAPL,0,0.0384589,0,-0.0181806,63.0449,0.0264541,0.77202,0.0275938,0.0193841,-0.104896,0.0358454,0,0,-0.111115
1982-02-04,AAPL,-0.0246897,-0.0186323,-0.0424215,0.0394831,47.5,0.0235065,0.574515,0.000318804,-0.00740824,-0.125304,0.0316083,0,0,-0.158228
1982-02-05,AAPL,0,-0.0306728,-0.0481896,-0.00628888,43.2432,0.0216983,1.07316,0.00063554,-0.00915128,-0.12346,0.029982,0,0,-0.170886
1982-02-08,AAPL,-0.0632982,-0.0807511,-0.0807511,-0.00671101,37.2078,0.0260611,0.845938,-0.062406,-0.0719866,-0.177026,0.0300239,0,0,-0.108102
1982-02-09,AAPL,0,-0.0864251,-0.0451697,0.027776,32.4985,0.0246133,1.54957,-0.0635924,-0.0716373,-0.175145,0.0290162,0,0,-0.121614
1982-02-10,AAPL,0.0135127,-0.0740802,-0.0384704,0.048948,30.7678,0.023809,1.04237,-0.0530359,-0.0592107,-0.162225,0.0290508,0,0,-0.133325
1982-02-11,AAPL,-0.0133325,-0.0632982,-0.0807511,-0.0133325,27.4988,0.0241307,0.660056,-0.0650711,-0.0716373,-0.17166,0.027219,0,0,-0.175677
1982-02-12,AAPL,0.0135127,-0.0506408,-0.0797603,-0.062507,35.1334,0.0228566,0.548622,-0.0494349,-0.0590926,-0.158654,0.022783,0,0,-0.193334
1982-02-16,AAPL,-0.0199988,-0.00675635,-0.0869618,-0.098164,38.2333,0.0218654,0.949989,-0.0636981,-0.077794,-0.173626,0.0225005,0,0,-0.190477
1982-02-17,AAPL,0.0136046,0.00675635,-0.0802526,-0.0629001,39.998,0.0215719,0.738752,-0.0479277,-0.0648958,-0.160566,0.0223709,0,0,-0.241608
1982-02-18,AAPL,0.013422,0.00666627,-0.0679078,-0.0679078,34.3731,0.0198672,0.816603,-0.0317458,-0.0521068,-0.147522,0.0221352,0,0,-0.192053
1982-02-19,AAPL,-0.00662212,0.0135127,-0.0506408,-0.090914,29.0306,0.0190473,0.402653,-0.0335094,-0.0583839,-0.151515,0.0215694,0,0,-0.113327
1982-02-22,AAPL,-0.0133325,-0.0133325,-0.0632982,-0.108438,29.0306,0.0193047,0.78596,-0.0408328,-0.070588,-0.161071,0.0215079,0,0,-0.0337817
1982-02-23,AAPL,-0.0135127,-0.00680231,-0.0135127,-0.0931726,24.9986,0.0190799,1.03483,-0.0491718,-0.0825708,-0.170574,0.0208515,0,0,-0.0342445
1982-02-24,AAPL,0.00684889,-0.013422,-0.00675635,-0.0516209,27.2712,0.019436,1.10904,-0.0401589,-0.075939,-0.163182,0.0195799,0,0,-0.0952323
1982-02-25,AAPL,-0.00680231,-0.0331106,-0.0266651,-0.0641096,29.9982,0.0181015,0.90093,-0.0435651,-0.0823401,-0.167144,0.0194915,0,0,-0.0958845
1982-02-26,AAPL,0,-0.0266651,-0.0135127,-0.0931726,29.9982,0.0181015,0.52685,-0.0388425,-0.081994,-0.16543,0.0177768,0,0,-0.109582
1982-03-01,AAPL,0.00684889,-0.00675635,-0.0199988,-0.098164,47.619,0.0140905,1.09684,-0.0271356,-0.0746592,-0.158078,0.0175482,0,0,-0.0952323
1982-03-02,AAPL,0,0.00684889,0,-0.0869618,47.619,0.0140905,1.08782,-0.0226074,-0.0720891,-0.156314,0.0174976,0,0,-0.0816277
1982-03-03,AAPL,0,0,-0.013422,-0.0925975,42.1053,0.0131187,0.776356,-0.0177087,-0.0678524,-0.154445,0.0173614,0,0,-0.0816277
1982-03-04,AAPL,-0.0204069,-0.0136978,-0.0463549,-0.111115,40,0.013888,1.24527,-0.031932,-0.0832706,-0.169886,0.0176529,0,1,-0.013888
1982-03-05,AAPL,-0.0763841,-0.0890356,-0.113327,-0.158228,20.6897,0.0193327,1.41711,-0.0982997,-0.148415,-0.231211,0.023166,0,1,0.0676646
1982-03-08,AAPL,-0.0150366,-0.108837,-0.114858,-0.170886,21.4286,0.0190827,1.10801,-0.103654,-0.156576,-0.240378,0.0231285,0,1,0.0839637
1982-03-09,AAPL,0.00763307,-0.102035,-0.0958845,-0.108102,18.5185,0.018397,1.60274,-0.0918416,-0.145406,-0.231929,0.0197259,0,1,0.0681772
1982-03-10,AAPL,-0.0151505,-0.115639,-0.115639,-0.121614,11.1111,0.0181306,2.54109,-0.100028,-0.154302,-0.240916,0.0197909,0,1,0.069226
1982-03-11,AAPL,0,-0.0972162,-0.109582,-0.133325,11.5385,0.01868,0.676011,-0.093755,-0.149878,-0.237935,0.0193296,0,1,0.0769178
1982-03-12,AAPL,-0.061548,-0.0827147,-0.164386,-0.175677,9.37447,0.0234189,1.34913,-0.141755,-0.196421,-0.281849,0.0226915,0,1,0.139351
1982-03-15,AAPL,-0.00819624,-0.0763443,-0.176872,-0.193334,9.67686,0.0230221,1.4233,-0.140017,-0.197084,-0.284704,0.0220831,0,1,0.0578626
1982-03-16,AAPL,-0.0165279,-0.0984917,-0.190477,-0.190477,6.24965,0.023409,1.28377,-0.14573,-0.204336,-0.293477,0.0220208,1,1,0.0840436
1982-03-17,AAPL,-0.0504171,-0.130774,-0.231291,-0.241608,5.40514,0.0278123,1.32956,-0.178181,-0.238955,-0.326318,0.0229529,1,1,0.159298
1982-03-18,AAPL,0.079641,-0.061548,-0.152781,-0.192053,23.9121,0.0310297,1.43085,-0.103274,-0.173558,-0.269836,0.030218,1,1,0.106566
1982-03-19,AAPL,0.0901733,0.0901733,0,-0.113327,37.5008,0.0338342,1.56756,-0.0162679,-0.0967096,-0.20103,0.0373135,0,1,-0.00751829
1982-03-22,AAPL,0.0751829,0.181822,0.0915968,-0.0337817,46.9699,0.036463,1.56862,0.0596513,-0.0266822,-0.138113,0.0411514,0,0,-0.118874
1982-03-23,AAPL,-0.0139851,0.184878,0.0681772,-0.0342445,45.5885,0.0374868,1.23844,0.046771,-0.0392479,-0.147521,0.0411588,0,0,-0.113481
1982-03-24,AAPL,-0.056734,0.176996,0.0230753,-0.0952323,42.4661,0.0424266,1.12525,-0.00745887,-0.0923948,-0.193056,0.0428575,0,0,-0.0751964
1982-03-25,AAPL,-0.00751829,0.0819771,0.0153836,-0.0958845,49.2064,0.0373371,1.73317,-0.00974845,-0.0978641,-0.196197,0.0428601,0,0,-0.0681908
1982-03-26,AAPL,-0.0151505,-0.0225549,0.0655846,-0.109582,49.2064,0.0379114,1.0116,-0.0188633,-0.109097,-0.205156,0.0429144,0,1,-0.0307671
1982-03-29,AAPL,0.0230753,-0.0699257,0.0991825,-0.0952323,50.7692,0.0381304,1.30474,0.00910752,-0.0851531,-0.183645,0.0432803,0,0,-0.0827147
1982-03-30,AAPL,0.0150366,-0.0425505,0.134461,-0.0816277,53.8459,0.0380946,1.44434,0.028965,-0.0678062,-0.168205,0.0434746,0,0,-0.133338
1982-03-31,AAPL,0,0.0150366,0.194694,-0.0816277,53.8459,0.0375655,0.90701,0.0336919,-0.0647062,-0.165144,0.0434746,0,0,-0.133338
1982-04-01,AAPL,0.0518484,0.0757524,0.163939,-0.013888,65.626,0.0357129,1.04974,0.0881203,-0.0134787,-0.118916,0.0448836,0,0,-0.169016
1982-04-02,AAPL,0,0.0923013,0.0676646,0.0676646,66.6676,0.0357129,1.45445,0.0843813,-0.0103159,-0.115981,0.0413032,0,0,-0.140849
1982-04-05,AAPL,0,0.0676646,-0.00699257,0.0839637,68.8534,0.0352099,1.42311,0.0798461,-0.00699381,-0.113221,0.041084,0,0,-0.112669
1982-04-06,AAPL,-0.00704181,0.0444415,0,0.0681772,75.0008,0.0329269,1.15772,0.0685856,-0.0112205,-0.116929,0.041159,0,0,-0.120572
1982-04-07,AAPL,-0.0141835,0.0296277,0.0451097,0.069226,67.3481,0.0292899,0.493635,0.0498491,-0.0230524,-0.126774,0.0411369,0,0,-0.0791316
1982-04-08,AAPL,0.00719378,-0.0140836,0.0606019,0.0769178,58.9744,0.0239781,0.406506,0.0534236,-0.0138063,-0.117971,0.0411302,0,0,-0.071424
1982-04-12,AAPL,-0.0071424,-0.0211254,0.069226,0.139351,43.3333,0.019526,0.752191,0.0392525,-0.0178058,-0.121587,0.038376,0,0,-0.0791316
1982-04-13,AAPL,-0.0791316,-0.0985853,-0.0375915,0.0578626,33.3333,0.0262258,1.40756,-0.0454835,-0.0910324,-0.188404,0.0426778,0,1,-0.0312618
1982-04-14,AAPL,0.00781195,-0.085101,-0.0444415,0.0840436,43.75,0.0227005,1.77699,-0.0416007,-0.0797493,-0.179567,0.0424295,0,0,-0.0620251
1982-04-15,AAPL,0.0155028,-0.0575502,-0.0296277,0.159298,48.4848,0.0234444,2.35994,-0.0332075,-0.0613312,-0.164803,0.0405191,0,0,-0.0687113
1982-04-16,AAPL,0.0305323,-0.035712,-0.0492927,0.106566,57.1429,0.024337,1.44515,-0.00844601,-0.0289141,-0.13735,0.0374921,0,0,-0.133338
1982-04-19,AAPL,-0.0222207,-0.0503565,-0.0704181,-0.00751829,48.5714,0.024349,0.583329,-0.0301229,-0.0469274,-0.15452,0.032513,0,0,-0.128793
1982-04-20,AAPL,-0.0454515,-0.0156239,-0.112669,-0.118874,38.4615,0.0272089,1.12911,-0.0683873,-0.0860225,-0.191057,0.0290385,0,0,-0.103181
1982-04-21,AAPL,-0.00795017,-0.0310195,-0.113481,-0.113481,37.4983,0.027428,1.01151,-0.0702944,-0.0902532,-0.195526,0.028984,0,0,-0.103994
1982-04-22,AAPL,-0.0159991,-0.0610782,-0.115113,-0.0751964,22.856,0.0243899,0.728039,-0.0817536,-0.101539,-0.2062,0.0266552,0,0,-0.0812961
1982-04-23,AAPL,0,-0.0888963,-0.121434,-0.0681908,22.856,0.0243899,0.6855,-0.078658,-0.0979808,-0.204403,0.0266495,0,0,-0.0731665
1982-04-26,AAPL,0.0244034,-0.0454515,-0.0935192,-0.0307671,28.9494,0.0255104,0.81807,-0.0547581,-0.0729773,-0.183615,0.0271495,0,0,-0.0873096
1982-04-27,AAPL,-0.031758,-0.031758,-0.0468857,-0.0827147,26.8301,0.0281045,0.990512,-0.0809848,-0.0987043,-0.208002,0.0273291,1,1,-0.0573737
1982-04-28,AAPL,-0.0409812,-0.0639963,-0.0930307,-0.133338,25.001,0.0311369,1.37811,-0.112631,-0.131792,-0.238655,0.0281017,1,1,-0.0256395
1982-04-29,AAPL,0,-0.0487776,-0.106877,-0.133338,23.2571,0.0305264,1.11711,-0.106532,-0.127649,-0.236718,0.0281017,1,1,-0.0427324
1982-04-30,AAPL,0.00854648,-0.040648,-0.125931,-0.169016,25.5824,0.0302678,3.28196,-0.0905619,-0.115843,-0.22813,0.0250024,0,1,-0.0508444
1982-05-03,AAPL,0.0338962,-0.031758,-0.075766,-0.140849,41.6654,0.0257628,0.979661,-0.0524322,-0.0820213,-0.199741,0.0266428,0,0,-0.0983549
1982-05-04,AAPL,0.0327996,0.0327996,0,-0.112669,46.1546,0.0266462,0.883061,-0.0152337,-0.0487628,-0.171673,0.0280099,0,0,-0.111117
1982-05-05,AAPL,-0.0158861,0.0598254,-0.00799954,-0.120572,41.0254,0.0265013,0.650635,-0.0243964,-0.0607543,-0.183006,0.0280995,0,0,-0.129025
1982-05-06,AAPL,0.0322707,0.0940267,0.0406626,-0.0791316,41.0281,0.0256738,0.88553,0.0114636,-0.0276456,-0.155166,0.0292245,0,0,-0.179689
1982-05-07,AAPL,0.0156239,0.101704,0.0569218,-0.071424,47.3692,0.0252789,0.959886,0.0313411,-0.0100473,-0.140378,0.0294383,0,0,-0.192308
1982-05-10,AAPL,-0.0153836,0.0491921,0.0158719,-0.0791316,52.9402,0.0234419,0.360713,0.0199255,-0.022597,-0.151807,0.0295473,0,0,-0.187501
1982-05-11,AAPL,-0.0312618,-0.0158861,0.0163925,-0.0312618,48.649,0.0259264,1.16394,-0.0103816,-0.0498148,-0.176249,0.0249129,0,0,-0.177409
